Date,Open,High,Low,Close
2018-05-31,55.5,55.5,55.5,55.5
2018-06-29,54.9,54.9,54.9,54.9
2018-07-31,55.1,55.1,55.1,55.1
2018-08-31,54.6,54.6,54.6,54.6
2018-09-28,53.2,53.2,53.2,53.2
2018-10-31,52,52,52,52
2018-11-30,51.8,51.8,51.8,51.8
2018-12-31,46.9,46.9,46.9,46.9
2019-01-31,45.9,45.9,45.9,45.9
2019-02-28,49.3,49.3,49.3,49.3
2019-03-29,47.5,47.5,47.5,47.5
2019-04-30,47.9,47.9,47.9,47.9
2019-05-31,47.8,47.8,47.8,47.8
2019-06-28,47.6,47.6,47.6,47.6
2019-07-31,46.5,46.5,46.5,46.5
2019-08-30,47,47,47,47
2019-09-30,46.2,46.2,46.2,46.2
2019-10-31,45.9,45.9,45.9,45.9
2019-11-29,46.9,46.9,46.9,46.9
2019-12-31,46.3,46.3,46.3,46.3
2020-01-31,47.9,47.9,47.9,47.9
2020-02-28,49.2,49.2,49.2,49.2
2020-03-31,44.5,44.5,44.5,44.5
2020-04-30,33.6,33.6,33.6,33.6
2020-05-29,39.5,39.5,39.5,39.5
2020-06-30,47.4,47.4,47.4,47.4
2020-07-31,51.8,51.8,51.8,51.8
2020-08-31,51.7,51.7,51.7,51.7
2020-09-30,53.7,53.7,53.7,53.7
2020-10-30,54.8,54.8,54.8,54.8
2020-11-30,53.8,53.8,53.8,53.8
2020-12-31,55.2,55.2,55.2,55.2
2021-01-29,54.8,54.8,54.8,54.8
2021-02-26,57.9,57.9,57.9,57.9
2021-03-31,62.5,62.5,62.5,62.5
2021-04-30,62.9,62.9,62.9,62.9
2021-05-31,63.1,63.1,63.1,63.1
2021-06-30,63.4,63.4,63.4,63.4
2021-07-30,62.8,62.8,62.8,62.8
2021-08-31,61.4,61.4,61.4,61.4
2021-09-30,58.6,58.6,58.6,58.6
2021-10-29,58.3,58.3,58.3,58.3
2021-11-30,58.4,58.4,58.4,58.4
2021-12-31,58,58,58,58
2022-01-31,58.7,58.7,58.7,58.7
2022-02-28,58.2,58.2,58.2,58.2
2022-03-31,55.3,55.3,55.3,55.3
2022-04-29,55.5,55.5,55.5,55.5
2022-05-31,54.6,54.6,54.6,54.6
2022-06-30,52,52,52,52
